batch,Instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,percNeg,par_CP,vertices,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,effort,NPV,time
"['50', '10', '2', '10', '100']",dg2.tpf,HS,50,10,2,10,100,1,52,94,8,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",94,47,2165,"-0,920845553","0,00650763512"
"['50', '10', '2', '10', '100']",dg2.tpf,RS,50,10,2,10,100,1,52,94,8,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",94,47,10523,"-0,920845553","0,0838599205"
"['50', '10', '2', '10', '100']",dg3.tpf,SAA,50,10,2,10,100,1,52,94,9,2,1,"1,612244898",2,1,"1,591836735","0,1","96,15384615",122,61,2267,"-0,2142857479","0,00897693634"
"['50', '10', '2', '10', '100']",dg3.tpf,HS,50,10,2,10,100,1,52,94,9,2,1,"1,612244898",2,1,"1,591836735","0,1","96,15384615",122,61,2147,"-0,2142857479","0,00498628616"
"['50', '10', '2', '10', '100']",dg3.tpf,RS,50,10,2,10,100,1,52,94,9,2,1,"1,612244898",2,1,"1,591836735","0,1","96,15384615",122,61,12100,"-0,2142857479","0,07380318642"
"['50', '10', '2', '10', '100']",dg4.tpf,SAA,50,10,2,10,100,1,52,95,8,2,1,"1,653061224",2,1,"1,653061224","0,1","96,15384615",96,48,2327,"-1,465956734","0,01495957375"
"['50', '10', '2', '10', '100']",dg4.tpf,HS,50,10,2,10,100,1,52,95,8,2,1,"1,653061224",2,1,"1,653061224","0,1","96,15384615",96,48,2206,"-1,465956734",0
"['50', '10', '2', '10', '100']",dg4.tpf,RS,50,10,2,10,100,1,52,95,8,2,1,"1,653061224",2,1,"1,653061224","0,1","96,15384615",96,48,17286,"-1,465956734","0,1326913834"
"['50', '10', '2', '10', '100']",dg5.tpf,SAA,50,10,2,10,100,1,52,94,8,2,1,"1,530612245",2,1,"1,510204082","0,1","96,15384615",84,42,2187,"-1,88169732","0,01721954346"
"['50', '10', '2', '10', '100']",dg5.tpf,HS,50,10,2,10,100,1,52,94,8,2,1,"1,530612245",2,1,"1,510204082","0,1","96,15384615",84,42,2071,"-1,88169732","0,01562261581"
"['50', '10', '2', '10', '100']",dg5.tpf,RS,50,10,2,10,100,1,52,94,8,2,1,"1,530612245",2,1,"1,510204082","0,1","96,15384615",84,41,6040,"-1,88169732","0,04687070847"
"['50', '10', '2', '10', '100']",dg6.tpf,SAA,50,10,2,10,100,1,52,91,8,2,1,"1,530612245",2,1,"1,551020408","0,1","96,15384615",92,46,2196,"-1,163091064","0,01562070847"
"['50', '10', '2', '10', '100']",dg6.tpf,HS,50,10,2,10,100,1,52,91,8,2,1,"1,530612245",2,1,"1,551020408","0,1","96,15384615",92,46,2080,"-1,163091064","0,01562738419"
"['50', '10', '2', '10', '100']",dg6.tpf,RS,50,10,2,10,100,1,52,91,8,2,1,"1,530612245",2,1,"1,551020408","0,1","96,15384615",92,42,14263,"-1,163091064","0,131483078"
"['50', '10', '2', '10', '100']",dg7.tpf,SAA,50,10,2,10,100,1,52,93,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",72,36,2124,"-5,71916444","0,00650763512"
"['50', '10', '2', '10', '100']",dg7.tpf,HS,50,10,2,10,100,1,52,93,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",72,36,2023,"-5,71916444","0,01562094688"
"['50', '10', '2', '10', '100']",dg7.tpf,RS,50,10,2,10,100,1,52,93,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",72,36,5779,"-5,71916444","0,05336952209"
"['50', '10', '2', '10', '100']",dg8.tpf,SAA,50,10,2,10,100,1,52,93,8,2,1,"1,591836735",2,1,"1,510204082","0,1","96,15384615",96,48,2154,"-1,069831974","0,0156223774"
"['50', '10', '2', '10', '100']",dg8.tpf,HS,50,10,2,10,100,1,52,93,8,2,1,"1,591836735",2,1,"1,510204082","0,1","96,15384615",96,48,2041,"-1,069831974",0
"['50', '10', '2', '10', '100']",dg8.tpf,RS,50,10,2,10,100,1,52,93,8,2,1,"1,591836735",2,1,"1,510204082","0,1","96,15384615",96,48,21143,"-1,069831974","0,1627323628"
"['50', '10', '2', '10', '100']",dg9.tpf,SAA,50,10,2,10,100,1,52,89,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",90,45,2189,"-1,759989534",0
