Id;Batch;Instance;algo;vertices;layer;fan;disRate;percNeg;cpMult;Vertices;Edges;Diameter;Max in degree;Min in degree;Max out degree;Min out degree;Negative activities;Deadline;Last task Early Finish;effort;NPV
129;16-6-3-25-25-1;dg2.tpf;RS;16;6;3;25;25;1;18;40;7;5;1;6;1;66,66666667;74;37;764;66,2
130;16-6-3-25-25-1;dg3.tpf;SAA;16;6;3;25;25;1;18;39;7;3;1;3;1;77,77777778;106;53;307;-0,16
131;16-6-3-25-25-1;dg3.tpf;HS;16;6;3;25;25;1;18;39;7;3;1;3;1;77,77777778;106;53;333;-0,16
132;16-6-3-25-25-1;dg3.tpf;RS;16;6;3;25;25;1;18;39;7;3;1;3;1;77,77777778;106;53;1445;-0,16
133;16-6-3-25-25-1;dg4.tpf;SAA;16;6;3;25;25;1;18;38;7;4;1;4;1;72,22222222;80;40;332;7,84
134;16-6-3-25-25-1;dg4.tpf;HS;16;6;3;25;25;1;18;38;7;4;1;4;1;72,22222222;80;40;264;7,84
135;16-6-3-25-25-1;dg4.tpf;RS;16;6;3;25;25;1;18;38;7;4;1;4;1;72,22222222;80;40;714;7,84
136;16-6-3-25-25-1;dg5.tpf;SAA;16;6;3;25;25;1;18;41;6;4;1;5;1;66,66666667;88;44;352;21,46
137;16-6-3-25-25-1;dg5.tpf;HS;16;6;3;25;25;1;18;41;6;4;1;5;1;66,66666667;88;44;218;21,46
138;16-6-3-25-25-1;dg5.tpf;RS;16;6;3;25;25;1;18;41;6;4;1;5;1;66,66666667;88;44;596;21,46
139;16-6-3-25-25-1;dg6.tpf;SAA;16;6;3;25;25;1;18;38;6;4;1;5;1;77,77777778;96;48;270;3,68
140;16-6-3-25-25-1;dg6.tpf;HS;16;6;3;25;25;1;18;38;6;4;1;5;1;77,77777778;96;48;228;3,68
141;16-6-3-25-25-1;dg6.tpf;RS;16;6;3;25;25;1;18;38;6;4;1;5;1;77,77777778;96;48;693;3,68
142;16-6-3-25-25-1;dg7.tpf;SAA;16;6;3;25;25;1;18;40;7;5;1;3;1;61,11111111;96;48;361;-12,05
143;16-6-3-25-25-1;dg7.tpf;HS;16;6;3;25;25;1;18;40;7;5;1;3;1;61,11111111;96;48;235;-12,05
144;16-6-3-25-25-1;dg7.tpf;RS;16;6;3;25;25;1;18;40;7;5;1;3;1;61,11111111;96;48;757;-12,05
145;16-6-3-25-25-1;dg8.tpf;SAA;16;6;3;25;25;1;18;39;6;4;1;4;1;61,11111111;82;41;140;60,38
146;16-6-3-25-25-1;dg8.tpf;HS;16;6;3;25;25;1;18;39;6;4;1;4;1;61,11111111;82;41;99;60,38
147;16-6-3-25-25-1;dg8.tpf;RS;16;6;3;25;25;1;18;39;6;4;1;4;1;61,11111111;82;41;450;60,38
148;16-6-3-25-25-1;dg9.tpf;SAA;16;6;3;25;25;1;18;33;7;4;1;7;1;66,66666667;52;26;183;19,94
149;16-6-3-25-25-1;dg9.tpf;HS;16;6;3;25;25;1;18;33;7;4;1;7;1;66,66666667;52;26;148;19,94
150;16-6-3-25-25-1;dg9.tpf;RS;16;6;3;25;25;1;18;33;7;4;1;7;1;66,66666667;52;26;215;19,94
151;16-6-3-25-50-1;dg1.tpf;SAA;16;6;3;25;50;1;18;39;6;6;1;5;1;55,55555556;82;41;177;59,4
152;16-6-3-25-50-1;dg1.tpf;HS;16;6;3;25;50;1;18;39;6;6;1;5;1;55,55555556;82;41;137;59,4
153;16-6-3-25-50-1;dg1.tpf;RS;16;6;3;25;50;1;18;39;6;6;1;5;1;55,55555556;82;41;211;59,4
154;16-6-3-25-50-1;dg10.tpf;SAA;16;6;3;25;50;1;18;38;7;4;1;5;1;55,55555556;78;39;169;-24,69
155;16-6-3-25-50-1;dg10.tpf;HS;16;6;3;25;50;1;18;38;7;4;1;5;1;55,55555556;78;39;76;-24,69
156;16-6-3-25-50-1;dg10.tpf;RS;16;6;3;25;50;1;18;38;7;4;1;5;1;55,55555556;78;39;243;-24,69
157;16-6-3-25-50-1;dg2.tpf;SAA;16;6;3;25;50;1;18;37;7;5;1;3;1;55,55555556;80;40;225;4,73
158;16-6-3-25-50-1;dg2.tpf;HS;16;6;3;25;50;1;18;37;7;5;1;3;1;55,55555556;80;40;128;4,73
159;16-6-3-25-50-1;dg2.tpf;RS;16;6;3;25;50;1;18;37;7;5;1;3;1;55,55555556;80;40;366;4,73
160;16-6-3-25-50-1;dg3.tpf;SAA;16;6;3;25;50;1;18;36;7;3;1;5;1;33,33333333;102;51;110;103,52
161;16-6-3-25-50-1;dg3.tpf;HS;16;6;3;25;50;1;18;36;7;3;1;5;1;33,33333333;102;51;58;103,52
162;16-6-3-25-50-1;dg3.tpf;RS;16;6;3;25;50;1;18;36;7;3;1;5;1;33,33333333;102;51;244;103,52
163;16-6-3-25-50-1;dg4.tpf;SAA;16;6;3;25;50;1;18;40;6;5;1;3;1;55,55555556;80;40;126;54,91
164;16-6-3-25-50-1;dg4.tpf;HS;16;6;3;25;50;1;18;40;6;5;1;3;1;55,55555556;80;40;87;54,91
165;16-6-3-25-50-1;dg4.tpf;RS;16;6;3;25;50;1;18;40;6;5;1;3;1;55,55555556;80;40;177;54,91
166;16-6-3-25-50-1;dg5.tpf;SAA;16;6;3;25;50;1;18;36;7;5;1;3;1;38,88888889;92;46;94;68,97
167;16-6-3-25-50-1;dg5.tpf;HS;16;6;3;25;50;1;18;36;7;5;1;3;1;38,88888889;92;46;52;68,97
168;16-6-3-25-50-1;dg5.tpf;RS;16;6;3;25;50;1;18;36;7;5;1;3;1;38,88888889;92;46;246;68,97
169;16-6-3-25-50-1;dg6.tpf;SAA;16;6;3;25;50;1;18;38;6;6;1;4;1;33,33333333;60;30;105;82,36
170;16-6-3-25-50-1;dg6.tpf;HS;16;6;3;25;50;1;18;38;6;6;1;4;1;33,33333333;60;30;65;82,36
171;16-6-3-25-50-1;dg6.tpf;RS;16;6;3;25;50;1;18;38;6;6;1;4;1;33,33333333;60;30;189;82,36
172;16-6-3-25-50-1;dg7.tpf;SAA;16;6;3;25;50;1;18;34;7;3;1;5;1;50;80;40;200;70,64
173;16-6-3-25-50-1;dg7.tpf;HS;16;6;3;25;50;1;18;34;7;3;1;5;1;50;80;40;127;70,64
174;16-6-3-25-50-1;dg7.tpf;RS;16;6;3;25;50;1;18;34;7;3;1;5;1;50;80;40;578;70,64
175;16-6-3-25-50-1;dg8.tpf;SAA;16;6;3;25;50;1;18;37;7;6;1;4;1;50;66;33;307;18,37
176;16-6-3-25-50-1;dg8.tpf;HS;16;6;3;25;50;1;18;37;7;6;1;4;1;50;66;33;205;18,37
177;16-6-3-25-50-1;dg8.tpf;RS;16;6;3;25;50;1;18;37;7;6;1;4;1;50;66;33;790;18,37
178;16-6-3-25-50-1;dg9.tpf;SAA;16;6;3;25;50;1;18;32;7;3;1;6;1;38,88888889;82;41;188;71,84
179;16-6-3-25-50-1;dg9.tpf;HS;16;6;3;25;50;1;18;32;7;3;1;6;1;38,88888889;82;41;115;71,84
180;16-6-3-25-50-1;dg9.tpf;RS;16;6;3;25;50;1;18;32;7;3;1;6;1;38,88888889;82;41;177;71,84
181;16-6-4-25-25-1;dg1.tpf;SAA;16;6;4;25;25;1;18;43;6;5;1;5;1;66,66666667;90;45;317;44,36
182;16-6-4-25-25-1;dg1.tpf;HS;16;6;4;25;25;1;18;43;6;5;1;5;1;66,66666667;90;45;223;44,36
183;16-6-4-25-25-1;dg1.tpf;RS;16;6;4;25;25;1;18;43;6;5;1;5;1;66,66666667;90;45;717;44,36
184;16-6-4-25-25-1;dg10.tpf;SAA;16;6;4;25;25;1;18;47;6;6;1;4;1;72,22222222;74;37;276;19,29
185;16-6-4-25-25-1;dg10.tpf;HS;16;6;4;25;25;1;18;47;6;6;1;4;1;72,22222222;74;37;315;19,29
186;16-6-4-25-25-1;dg10.tpf;RS;16;6;4;25;25;1;18;47;6;6;1;4;1;72,22222222;74;37;695;19,29
187;16-6-4-25-25-1;dg2.tpf;SAA;16;6;4;25;25;1;18;49;6;4;1;4;1;61,11111111;98;49;293;62,42
188;16-6-4-25-25-1;dg2.tpf;HS;16;6;4;25;25;1;18;49;6;4;1;4;1;61,11111111;98;49;224;62,42
189;16-6-4-25-25-1;dg2.tpf;RS;16;6;4;25;25;1;18;49;6;4;1;4;1;61,11111111;98;49;1037;62,42
190;16-6-4-25-25-1;dg3.tpf;SAA;16;6;4;25;25;1;18;47;6;4;1;4;1;61,11111111;102;51;257;87,73
191;16-6-4-25-25-1;dg3.tpf;HS;16;6;4;25;25;1;18;47;6;4;1;4;1;61,11111111;102;51;207;87,73
192;16-6-4-25-25-1;dg3.tpf;RS;16;6;4;25;25;1;18;47;6;4;1;4;1;61,11111111;102;51;1019;87,73
193;16-6-4-25-25-1;dg4.tpf;SAA;16;6;4;25;25;1;18;43;7;4;1;4;1;61,11111111;94;47;428;48,22
194;16-6-4-25-25-1;dg4.tpf;HS;16;6;4;25;25;1;18;43;7;4;1;4;1;61,11111111;94;47;291;48,22
195;16-6-4-25-25-1;dg4.tpf;RS;16;6;4;25;25;1;18;43;7;4;1;4;1;61,11111111;94;47;665;48,22
196;16-6-4-25-25-1;dg5.tpf;SAA;16;6;4;25;25;1;18;47;6;6;1;4;1;66,66666667;80;40;327;84,3
197;16-6-4-25-25-1;dg5.tpf;HS;16;6;4;25;25;1;18;47;6;6;1;4;1;66,66666667;80;40;248;84,3
198;16-6-4-25-25-1;dg5.tpf;RS;16;6;4;25;25;1;18;47;6;6;1;4;1;66,66666667;80;40;799;84,3
199;16-6-4-25-25-1;dg6.tpf;SAA;16;6;4;25;25;1;18;48;6;4;1;4;1;77,77777778;88;44;436;31,59
200;16-6-4-25-25-1;dg6.tpf;HS;16;6;4;25;25;1;18;48;6;4;1;4;1;77,77777778;88;44;371;31,59
