id;algo;vertices;layer;fan;discRate;percNeg;cpMult;effort
405;RS;64;4;3;25;50;1;4849
406;SAA;64;4;3;25;50;1;967
407;HS;64;4;3;25;50;1;709
408;RS;64;4;3;25;50;1;3003
409;SAA;64;4;3;25;50;1;1151
410;HS;64;4;3;25;50;1;735
411;RS;64;4;3;25;50;1;2057
412;SAA;64;4;3;25;50;1;1044
413;HS;64;4;3;25;50;1;677
414;RS;64;4;3;25;50;1;3006
415;SAA;64;4;3;25;50;1;1152
416;HS;64;4;3;25;50;1;835
417;RS;64;4;3;25;50;1;3630
418;SAA;64;4;3;25;50;1;1323
419;HS;64;4;3;25;50;1;1075
420;RS;64;4;3;25;50;1;3309
421;SAA;64;4;4;25;25;1;3723
422;HS;64;4;4;25;25;1;3453
423;RS;64;4;4;25;25;1;10329
424;SAA;64;4;4;25;25;1;3763
425;HS;64;4;4;25;25;1;3421
426;RS;64;4;4;25;25;1;31091
427;SAA;64;4;4;25;25;1;4338
428;HS;64;4;4;25;25;1;3702
429;RS;64;4;4;25;25;1;23234
430;SAA;64;4;4;25;25;1;3771
431;HS;64;4;4;25;25;1;3350
432;RS;64;4;4;25;25;1;35757
433;SAA;64;4;4;25;25;1;4338
434;HS;64;4;4;25;25;1;4043
435;RS;64;4;4;25;25;1;30296
436;SAA;64;4;4;25;25;1;4545
437;HS;64;4;4;25;25;1;3836
438;RS;64;4;4;25;25;1;8937
439;SAA;64;4;4;25;25;1;5243
440;HS;64;4;4;25;25;1;4250
441;RS;64;4;4;25;25;1;22400
442;SAA;64;4;4;25;25;1;3475
443;HS;64;4;4;25;25;1;3056
444;RS;64;4;4;25;25;1;23699
445;SAA;64;4;4;25;25;1;2651
446;HS;64;4;4;25;25;1;2447
447;RS;64;4;4;25;25;1;15533
448;SAA;64;4;4;25;25;1;4196
449;HS;64;4;4;25;25;1;3399
450;RS;64;4;4;25;25;1;11333
451;SAA;64;4;4;25;50;1;1189
452;HS;64;4;4;25;50;1;938
453;RS;64;4;4;25;50;1;1893
454;SAA;64;4;4;25;50;1;2437
455;HS;64;4;4;25;50;1;1766
456;RS;64;4;4;25;50;1;8909
457;SAA;64;4;4;25;50;1;2588
458;HS;64;4;4;25;50;1;1927
459;RS;64;4;4;25;50;1;5327
460;SAA;64;4;4;25;50;1;1314
461;HS;64;4;4;25;50;1;1079
462;RS;64;4;4;25;50;1;4895
463;SAA;64;4;4;25;50;1;2211
464;HS;64;4;4;25;50;1;1788
465;RS;64;4;4;25;50;1;12125
466;SAA;64;4;4;25;50;1;1868
467;HS;64;4;4;25;50;1;1181
468;RS;64;4;4;25;50;1;12370
469;SAA;64;4;4;25;50;1;1029
470;HS;64;4;4;25;50;1;758
471;RS;64;4;4;25;50;1;5561
472;SAA;64;4;4;25;50;1;1695
473;HS;64;4;4;25;50;1;1233
474;RS;64;4;4;25;50;1;7787
475;SAA;64;4;4;25;50;1;2362
476;HS;64;4;4;25;50;1;1555
477;RS;64;4;4;25;50;1;6116
478;SAA;64;4;4;25;50;1;963
479;HS;64;4;4;25;50;1;692
480;RS;64;4;4;25;50;1;5616
481;SAA;64;6;3;25;25;1;1913
482;HS;64;6;3;25;25;1;1537
483;RS;64;6;3;25;25;1;4459
484;SAA;64;6;3;25;25;1;2636
485;HS;64;6;3;25;25;1;2177
486;RS;64;6;3;25;25;1;8282
487;SAA;64;6;3;25;25;1;2458
488;HS;64;6;3;25;25;1;1780
489;RS;64;6;3;25;25;1;19213
490;SAA;64;6;3;25;25;1;1614
491;HS;64;6;3;25;25;1;1338
492;RS;64;6;3;25;25;1;16675
493;SAA;64;6;3;25;25;1;1987
494;HS;64;6;3;25;25;1;1656
495;RS;64;6;3;25;25;1;5237
496;SAA;64;6;3;25;25;1;3105
497;HS;64;6;3;25;25;1;2272
498;RS;64;6;3;25;25;1;22984
499;SAA;64;6;3;25;25;1;1743
500;HS;64;6;3;25;25;1;1487
501;RS;64;6;3;25;25;1;4936
502;SAA;64;6;3;25;25;1;2562
503;HS;64;6;3;25;25;1;2132
504;RS;64;6;3;25;25;1;7388
505;SAA;64;6;3;25;25;1;4565
506;HS;64;6;3;25;25;1;3881
507;RS;64;6;3;25;25;1;37178
508;SAA;64;6;3;25;25;1;2592
509;HS;64;6;3;25;25;1;2256
510;RS;64;6;3;25;25;1;18177
511;SAA;64;6;3;25;50;1;894
512;HS;64;6;3;25;50;1;627
513;RS;64;6;3;25;50;1;2447
514;SAA;64;6;3;25;50;1;1198
515;HS;64;6;3;25;50;1;777
516;RS;64;6;3;25;50;1;5554
517;SAA;64;6;3;25;50;1;622
518;HS;64;6;3;25;50;1;455
519;RS;64;6;3;25;50;1;5210
520;SAA;64;6;3;25;50;1;852
521;HS;64;6;3;25;50;1;574
522;RS;64;6;3;25;50;1;5016
523;SAA;64;6;3;25;50;1;901
524;HS;64;6;3;25;50;1;642
525;RS;64;6;3;25;50;1;2172
526;SAA;64;6;3;25;50;1;746
527;HS;64;6;3;25;50;1;441
528;RS;64;6;3;25;50;1;4039
529;SAA;64;6;3;25;50;1;1257
530;HS;64;6;3;25;50;1;868
531;RS;64;6;3;25;50;1;3879
532;SAA;64;6;3;25;50;1;1421
533;HS;64;6;3;25;50;1;970
534;RS;64;6;3;25;50;1;2327
535;SAA;64;6;3;25;50;1;981
536;HS;64;6;3;25;50;1;691
537;RS;64;6;3;25;50;1;3616
538;SAA;64;6;3;25;50;1;814
539;HS;64;6;3;25;50;1;537
540;RS;64;6;3;25;50;1;2064
541;SAA;64;6;4;25;25;1;3965
542;HS;64;6;4;25;25;1;3621
543;RS;64;6;4;25;25;1;40212
544;SAA;64;6;4;25;25;1;3692
545;HS;64;6;4;25;25;1;3202
546;RS;64;6;4;25;25;1;28002
547;SAA;64;6;4;25;25;1;4067
548;HS;64;6;4;25;25;1;3757
549;RS;64;6;4;25;25;1;27918
550;SAA;64;6;4;25;25;1;7031
551;HS;64;6;4;25;25;1;5138
552;RS;64;6;4;25;25;1;24840
553;SAA;64;6;4;25;25;1;5590
554;HS;64;6;4;25;25;1;4335
555;RS;64;6;4;25;25;1;11940
556;SAA;64;6;4;25;25;1;5593
